item_id;item;defom;exsz;schpl;x_mm;y_mm;z_mm;pzxsc;kgxsc;x_sc_mm;y_sc_mm;z_sc_mm;scxfrd;frdxplt;x_frd_mm;y_frd_mm;z_frd_mm;kgxfrd;cdsup;scxpl;z_cub_mm;x_pal_mm;y_pal_mm;kgxplt;z_pal_mm
23240f8293 N 048;23240f8293;30X30;0;N 048;300;300;8,6;12;20,1;300;300;103,2;0;inf;300;300;0;0;9;48;-134;800;1200;964,8;134
23240f8293 S 048;23240f8293;30X30;0;S 048;300;300;8,6;12;20,1;300;300;103,2;2;24;300;300;237,36;40,2;F;48;611;800;1200;964,8;134
a9245b804a E 048;a9245b804a;30X30;0;E 048;300;300;8,6;12;20,1;300;300;103,2;0;inf;300;300;0;0;9;48;-134;800;1200;964,8;134
a9245b804a S 048;a9245b804a;30X30;0;S 048;300;300;8,6;12;20,1;300;300;103,2;2;24;300;300;237,36;40,2;F;48;611;800;1200;964,8;134
5274764a88 E 048;5274764a88;30X30;0;E 048;300;300;8,6;12;20,1;300;300;103,2;0;inf;300;300;0;0;9;48;-134;800;1200;964,8;134
5274764a88 S 048;5274764a88;30X30;0;S 048;300;300;8,6;12;20,1;300;300;103,2;2;24;300;300;237,36;40,2;F;48;611;800;1200;964,8;134
840d93a36b N 048;840d93a36b;30X30;0;N 048;300;300;8,6;12;20,1;300;300;103,2;0;inf;300;300;0;0;9;48;-134;800;1200;964,8;134
840d93a36b S 048;840d93a36b;30X30;0;S 048;300;300;8,6;12;20,1;300;300;103,2;2;24;300;300;237,36;40,2;F;48;611;800;1200;964,8;134
ddd820cb3b E 048;ddd820cb3b;30X30;0;E 048;300;300;8,6;12;20,1;300;300;103,2;0;inf;300;300;0;0;9;48;-134;800;1200;964,8;134
ddd820cb3b N 048;ddd820cb3b;30X30;0;N 048;300;300;8,6;12;20,1;300;300;103,2;0;inf;300;300;0;0;9;48;-134;800;1200;964,8;134
ddd820cb3b S 048;ddd820cb3b;30X30;0;S 048;300;300;8,6;12;20,1;300;300;103,2;2;24;300;300;237,36;40,2;F;48;611;800;1200;964,8;134
532b14a796 E 048;532b14a796;30X30;0;E 048;300;300;8,6;12;20,1;300;300;103,2;0;inf;300;300;0;0;9;48;-134;800;1200;964,8;134
532b14a796 N 048;532b14a796;30X30;0;N 048;300;300;8,6;12;20,1;300;300;103,2;0;inf;300;300;0;0;9;48;-134;800;1200;964,8;134
532b14a796 S 048;532b14a796;30X30;0;S 048;300;300;8,6;12;20,1;300;300;103,2;2;24;300;300;237,36;40,2;F;48;616;800;1200;964,8;134
16c8c3dd67 E 048;16c8c3dd67;30X30;0;E 048;300;300;8,6;12;20,1;300;300;103,2;0;inf;300;300;0;0;9;48;-134;800;1200;964,8;134
16c8c3dd67 N 048;16c8c3dd67;30X30;0;N 048;300;300;8,6;12;20,1;300;300;103,2;0;inf;300;300;0;0;9;48;-134;800;1200;964,8;134
16c8c3dd67 S 048;16c8c3dd67;30X30;0;S 048;300;300;8,6;12;20,1;300;300;103,2;2;24;300;300;237,36;40,2;F;48;616;800;1200;964,8;134
9671806d79 E 048;9671806d79;30X30;0;E 048;300;300;8,6;12;20,1;300;300;103,2;0;inf;300;300;0;0;9;48;-134;800;1200;964,8;134
9671806d79 N 048;9671806d79;30X30;0;N 048;300;300;8,6;12;20,1;300;300;103,2;0;inf;300;300;0;0;9;48;-134;800;1200;964,8;134
9671806d79 S 048;9671806d79;30X30;0;S 048;300;300;8,6;12;20,1;300;300;103,2;2;24;300;300;237,36;40,2;F;48;616;800;1200;964,8;134
6ead62d3a0 E 045;6ead62d3a0;20X20;0;E 045;200;200;12;20;22;200;200;240;0;inf;200;200;0;0;9;45;-134;800;1200;990;134
6ead62d3a0 N 045;6ead62d3a0;20X20;0;N 045;200;200;12;20;22;200;200;240;0;inf;200;200;0;0;9;45;-134;800;1200;990;134
6ead62d3a0 S 045;6ead62d3a0;20X20;0;S 045;200;200;12;20;22;200;200;240;1;45;200;200;276;22;F;45;611;800;1200;990;134
087a3c428a S 040;087a3c428a;30X60;0;S 040;300;600;12;5;23;300;600;60;2;20;300;600;138;46;F;40;601;800;1200;920;134
76afe29b7f E 040;76afe29b7f;30X60;0;E 040;300;600;10;6;25,46;300;600;60;0;inf;300;600;0;0;9;40;-134;800;1200;1018,4;134
76afe29b7f N 040;76afe29b7f;30X60;0;N 040;300;600;10;6;25,46;300;600;60;0;inf;300;600;0;0;9;40;-134;800;1200;1018,4;134
76afe29b7f S 040;76afe29b7f;30X60;0;S 040;300;600;10;6;25,46;300;600;60;2;20;300;600;138;50,92;F;40;601;800;1200;1018,4;134
da5dfa2b91 E 036;da5dfa2b91;60X60;0;E 036;600;600;9,3;3;23,89;600;600;27,9;0;inf;600;600;0;0;9;36;-134;800;1200;860,04;134
da5dfa2b91 N 040;da5dfa2b91;60X60;0;N 040;600;600;9,3;3;23,89;600;600;27,9;0;inf;600;600;0;0;9;40;-134;800;1200;955,6;134
da5dfa2b91 S 040;da5dfa2b91;60X60;0;S 040;600;600;9,3;3;23,89;600;600;27,9;3;13,33333333;600;600;96,255;71,67;F;40;608;800;1200;955,6;134
9cf1a48a13 S 040;9cf1a48a13;60X60;0;S 040;600;600;9;3;21,23;600;600;27;4;10;600;600;124,2;84,92;F;40;596;800;1200;849,2;134
2035327250 E 036;2035327250;22.5X90;0;E 036;225;900;9,5;6;26,73;225;900;57;0;inf;225;900;0;0;B;36;441;1010;1200;962,28;134
2035327250 N 036;2035327250;22.5X90;0;N 036;225;900;9,5;6;26,73;225;900;57;0;inf;225;900;0;0;B;36;441;1010;1200;962,28;134
2035327250 S 036;2035327250;22.5X90;0;S 036;225;900;9,5;6;26,73;225;900;57;2;18;225;900;131,1;53,46;B;36;441;1010;1200;962,28;134
1e838140a7 S 040;1e838140a7;60X60;0;S 040;600;600;9;3;22,38;600;600;27;4;10;600;600;124,2;89,52;F;40;596;800;1200;895,2;134
e5fa72ba2b S 040;e5fa72ba2b;60X60;0;S 040;600;600;9;3;22,38;600;600;27;4;10;600;600;124,2;89,52;F;40;596;800;1200;895,2;134
bfbb1ceb6a S 040;bfbb1ceb6a;60X60;0;S 040;600;600;9;3;20,01;600;600;27;4;10;600;600;124,2;80,04;F;40;596;800;1200;800,4;134
01707d9915 S 040;01707d9915;60X60;0;S 040;600;600;9;3;22,38;600;600;27;4;10;600;600;124,2;89,52;F;40;596;800;1200;895,2;134
ea6eb2a114 S 040;ea6eb2a114;60X60;0;S 040;600;600;9;3;22,38;600;600;27;4;10;600;600;124,2;89,52;F;40;596;800;1200;895,2;134
6474feb041 N 048;6474feb041;30X30;0;N 048;300;300;9;11;20,26;300;300;99;0;inf;300;300;0;0;9;48;-134;800;1200;972,48;134
6474feb041 S 048;6474feb041;30X30;0;S 048;300;300;9;11;20,26;300;300;99;2;24;300;300;227,7;40,52;F;48;611;800;1200;972,48;134
82836147aa N 048;82836147aa;30X30;0;N 048;300;300;9;11;20,26;300;300;99;0;inf;300;300;0;0;9;48;-134;800;1200;972,48;134
82836147aa S 048;82836147aa;30X30;0;S 048;300;300;9;11;20,26;300;300;99;2;24;300;300;227,7;40,52;F;48;611;800;1200;972,48;134
066ef9ce28 N 048;066ef9ce28;30X30;0;N 048;300;300;9;11;20,26;300;300;99;0;inf;300;300;0;0;9;48;-134;800;1200;972,48;134
066ef9ce28 S 048;066ef9ce28;30X30;0;S 048;300;300;9;11;20,26;300;300;99;2;24;300;300;227,7;40,52;F;48;611;800;1200;972,48;134
9841c9eb0d N 048;9841c9eb0d;30X30;0;N 048;300;300;9;11;20,26;300;300;99;0;inf;300;300;0;0;9;48;-134;800;1200;972,48;134
9841c9eb0d S 048;9841c9eb0d;30X30;0;S 048;300;300;9;11;20,26;300;300;99;2;24;300;300;227,7;40,52;F;48;611;800;1200;972,48;134
acd0555257 N 035;acd0555257;60X120;0;N 035;600;1200;9;2;36,6;600;1200;18;0;inf;600;1200;0;0;W;35;599;870;123;1281;141
c16c42ba4d S 040;c16c42ba4d;30X60;0;S 040;300;600;9;7;23,45;300;600;63;2;20;300;600;144,9;46,9;F;40;601;800;1200;938;134
c4070c9036 E 036;c4070c9036;22.5X90;0;E 036;225;900;9,5;6;26,03;225;900;57;0;inf;225;900;0;0;9;36;-134;800;1200;937,08;134
c4070c9036 N 036;c4070c9036;22.5X90;0;N 036;225;900;9,5;6;26,03;225;900;57;0;inf;225;900;0;0;9;36;-134;800;1200;937,08;134
c4070c9036 S 036;c4070c9036;22.5X90;0;S 036;225;900;9,5;6;26,03;225;900;57;2;18;225;900;131,1;52,06;B;36;441;1010;1200;937,08;134
d42f6ce368 N 040;d42f6ce368;60X60;0;N 040;600;600;9;3;21,23;600;600;27;0;inf;600;600;0;0;9;40;-134;800;1200;849,2;134
d42f6ce368 S 040;d42f6ce368;60X60;0;S 040;600;600;9;3;21,23;600;600;27;3;13,33333333;600;600;93,15;63,69;F;40;608;800;1200;849,2;134
64c6f9e04d S 040;64c6f9e04d;30X60;0;S 040;300;600;9,5;6;22,18;300;600;57;2;20;300;600;131,1;44,36;F;40;601;800;1200;887,2;134
f4deb49170 S 040;f4deb49170;30X60;0;S 040;300;600;9,5;6;22,18;300;600;57;2;20;300;600;131,1;44,36;F;40;601;800;1200;887,2;134
87c6f04863 S 040;87c6f04863;30X60;0;S 040;300;600;9,5;6;23,17;300;600;57;2;20;300;600;131,1;46,34;F;40;601;800;1200;926,8;134
aecc4e0cfe N 030;aecc4e0cfe;30X30;0;N 030;300;300;9;12;22;300;300;108;0;inf;300;300;0;0;9;30;-134;800;1200;660;134
aecc4e0cfe S 030;aecc4e0cfe;30X30;0;S 030;300;300;9;12;22;300;300;108;2;15;300;300;248,4;44;F;30;611;800;1200;660;134
5c3116361b N 030;5c3116361b;30X30;0;N 030;300;300;9;12;22;300;300;108;0;inf;300;300;0;0;9;30;-134;800;1200;660;134
5c3116361b S 030;5c3116361b;30X30;0;S 030;300;300;9;12;22;300;300;108;2;15;300;300;248,4;44;F;30;611;800;1200;660;134
d0e072325c N 030;d0e072325c;30X30;0;N 030;300;300;9;12;22;300;300;108;0;inf;300;300;0;0;9;30;-134;800;1200;660;134
d0e072325c S 030;d0e072325c;30X30;0;S 030;300;300;9;12;22;300;300;108;2;15;300;300;248,4;44;F;30;611;800;1200;660;134
f2d1b7dbfe N 030;f2d1b7dbfe;30X30;0;N 030;300;300;9;12;22;300;300;108;0;inf;300;300;0;0;9;30;-134;800;1200;660;134
f2d1b7dbfe S 030;f2d1b7dbfe;30X30;0;S 030;300;300;9;12;22;300;300;108;2;15;300;300;248,4;44;F;30;611;800;1200;660;134
af662be87a N 030;af662be87a;30X30;0;N 030;300;300;9;12;22;300;300;108;0;inf;300;300;0;0;9;30;-134;800;1200;660;134
af662be87a S 030;af662be87a;30X30;0;S 030;300;300;9;12;22;300;300;108;2;15;300;300;248,4;44;F;30;611;800;1200;660;134
ad5e4d4440 N 030;ad5e4d4440;30X30;0;N 030;300;300;9;12;22;300;300;108;0;inf;300;300;0;0;9;30;-134;800;1200;660;134
ad5e4d4440 S 030;ad5e4d4440;30X30;0;S 030;300;300;9;12;22;300;300;108;2;15;300;300;248,4;44;F;30;611;800;1200;660;134
e4376787a3 N 030;e4376787a3;30X30;0;N 030;300;300;9;12;22;300;300;108;0;inf;300;300;0;0;9;30;-134;800;1200;660;134
e4376787a3 S 030;e4376787a3;30X30;0;S 030;300;300;9;12;22;300;300;108;2;15;300;300;248,4;44;F;30;611;800;1200;660;134
d66d8fd596 N 030;d66d8fd596;30X30;0;N 030;300;300;9;12;22;300;300;108;0;inf;300;300;0;0;9;30;-134;800;1200;660;134
d66d8fd596 S 030;d66d8fd596;30X30;0;S 030;300;300;9;12;22;300;300;108;2;15;300;300;248,4;44;F;30;611;800;1200;660;134
c395bfb868 N 030;c395bfb868;30X30;0;N 030;300;300;9;12;22;300;300;108;0;inf;300;300;0;0;9;30;-134;800;1200;660;134
c395bfb868 S 030;c395bfb868;30X30;0;S 030;300;300;9;12;22;300;300;108;2;15;300;300;248,4;44;F;30;611;800;1200;660;134
b43649ecb5 E 056;b43649ecb5;20X20;0;E 056;200;200;7,3;36;23,18;200;200;262,8;0;inf;200;200;0;0;9;56;-134;800;1200;1298,08;134
b43649ecb5 N 056;b43649ecb5;20X20;0;N 056;200;200;7,3;36;23,18;200;200;262,8;0;inf;200;200;0;0;9;56;-134;800;1200;1298,08;134
b43649ecb5 S 056;b43649ecb5;20X20;0;S 056;200;200;7,3;36;23,18;200;200;262,8;1;56;200;200;302,22;23,18;F;56;806;800;1200;1298,08;134
edfc2ce23a E 056;edfc2ce23a;20X20;0;E 056;200;200;7,3;36;23,18;200;200;262,8;0;inf;200;200;0;0;9;56;-134;800;1200;1298,08;134
edfc2ce23a N 056;edfc2ce23a;20X20;0;N 056;200;200;7,3;36;23,18;200;200;262,8;0;inf;200;200;0;0;9;56;-134;800;1200;1298,08;134
edfc2ce23a S 056;edfc2ce23a;20X20;0;S 056;200;200;7,3;36;23,18;200;200;262,8;1;56;200;200;302,22;23,18;F;56;806;800;1200;1298,08;134
72218df5e6 E 056;72218df5e6;20X20;0;E 056;200;200;7,3;36;23,18;200;200;262,8;0;inf;200;200;0;0;9;56;-134;800;1200;1298,08;134
72218df5e6 N 056;72218df5e6;20X20;0;N 056;200;200;7,3;36;23,18;200;200;262,8;0;inf;200;200;0;0;9;56;-134;800;1200;1298,08;134
72218df5e6 S 056;72218df5e6;20X20;0;S 056;200;200;7,3;36;23,18;200;200;262,8;1;56;200;200;302,22;23,18;F;56;806;800;1200;1298,08;134
2f8db491be E 056;2f8db491be;20X20;0;E 056;200;200;7,3;36;23,18;200;200;262,8;0;inf;200;200;0;0;9;56;-134;800;1200;1298,08;134
2f8db491be N 056;2f8db491be;20X20;0;N 056;200;200;7,3;36;23,18;200;200;262,8;0;inf;200;200;0;0;9;56;-134;800;1200;1298,08;134
2f8db491be S 056;2f8db491be;20X20;0;S 056;200;200;7,3;36;23,18;200;200;262,8;1;56;200;200;302,22;23,18;F;56;806;800;1200;1298,08;134
2b41fe2e5c E 056;2b41fe2e5c;20X20;0;E 056;200;200;7,3;36;23,18;200;200;262,8;0;inf;200;200;0;0;9;56;-134;800;1200;1298,08;134
2b41fe2e5c N 056;2b41fe2e5c;20X20;0;N 056;200;200;7,3;36;23,18;200;200;262,8;0;inf;200;200;0;0;9;56;-134;800;1200;1298,08;134
2b41fe2e5c S 056;2b41fe2e5c;20X20;0;S 056;200;200;7,3;36;23,18;200;200;262,8;1;56;200;200;302,22;23,18;F;56;806;800;1200;1298,08;134
f42e91b453 S 056;f42e91b453;20X20;0;S 056;200;200;7,3;36;23,18;200;200;262,8;1;56;200;200;302,22;23,18;F;56;806;800;1200;1298,08;134
f42e91b453 E 056;f42e91b453;20X20;0;E 056;200;200;7,3;36;23,18;200;200;262,8;1;56;200;200;302,22;23,18;E;56;796;800;1200;1298,08;144
fccfc913a1 E 056;fccfc913a1;20X20;0;E 056;200;200;7,3;36;23,18;200;200;262,8;0;inf;200;200;0;0;9;56;-134;800;1200;1298,08;134
fccfc913a1 N 056;fccfc913a1;20X20;0;N 056;200;200;7,3;36;23,18;200;200;262,8;0;inf;200;200;0;0;9;56;-134;800;1200;1298,08;134
fccfc913a1 S 056;fccfc913a1;20X20;0;S 056;200;200;7,3;36;23,18;200;200;262,8;1;56;200;200;302,22;23,18;F;56;806;800;1200;1298,08;134
3dfffba1a1 E 056;3dfffba1a1;20X20;0;E 056;200;200;7,3;36;23,18;200;200;262,8;0;inf;200;200;0;0;9;56;-134;800;1200;1298,08;134
3dfffba1a1 N 056;3dfffba1a1;20X20;0;N 056;200;200;7,3;36;23,18;200;200;262,8;0;inf;200;200;0;0;9;56;-134;800;1200;1298,08;134
3dfffba1a1 S 056;3dfffba1a1;20X20;0;S 056;200;200;7,3;36;23,18;200;200;262,8;1;56;200;200;302,22;23,18;F;56;806;800;1200;1298,08;134
7f231e99a7 E 056;7f231e99a7;20X20;0;E 056;200;200;7,3;36;23,18;200;200;262,8;0;inf;200;200;0;0;9;56;-134;800;1200;1298,08;134
7f231e99a7 N 056;7f231e99a7;20X20;0;N 056;200;200;7,3;36;23,18;200;200;262,8;0;inf;200;200;0;0;9;56;-134;800;1200;1298,08;134
7f231e99a7 S 056;7f231e99a7;20X20;0;S 056;200;200;7,3;36;23,18;200;200;262,8;1;56;200;200;302,22;23,18;F;56;806;800;1200;1298,08;134
95c36b9471 E 056;95c36b9471;20X20;0;E 056;200;200;7,3;36;23,18;200;200;262,8;0;inf;200;200;0;0;9;56;-134;800;1200;1298,08;134
95c36b9471 N 056;95c36b9471;20X20;0;N 056;200;200;7,3;36;23,18;200;200;262,8;0;inf;200;200;0;0;9;56;-134;800;1200;1298,08;134
95c36b9471 S 056;95c36b9471;20X20;0;S 056;200;200;7,3;36;23,18;200;200;262,8;1;56;200;200;302,22;23,18;F;56;806;800;1200;1298,08;134
29d1528fb7 E 056;29d1528fb7;20X20;0;E 056;200;200;7,3;36;23,18;200;200;262,8;0;inf;200;200;0;0;9;56;-134;800;1200;1298,08;134
29d1528fb7 N 056;29d1528fb7;20X20;0;N 056;200;200;7,3;36;23,18;200;200;262,8;0;inf;200;200;0;0;9;56;-134;800;1200;1298,08;134
29d1528fb7 S 056;29d1528fb7;20X20;0;S 056;200;200;7,3;36;23,18;200;200;262,8;1;56;200;200;302,22;23,18;F;56;806;800;1200;1298,08;134
b34b80a504 E 056;b34b80a504;20X20;0;E 056;200;200;7,3;36;23,18;200;200;262,8;0;inf;200;200;0;0;9;56;-134;800;1200;1298,08;134
b34b80a504 N 056;b34b80a504;20X20;0;N 056;200;200;7,3;36;23,18;200;200;262,8;0;inf;200;200;0;0;9;56;-134;800;1200;1298,08;134
b34b80a504 S 056;b34b80a504;20X20;0;S 056;200;200;7,3;36;23,18;200;200;262,8;1;56;200;200;302,22;23,18;F;56;806;800;1200;1298,08;134
f19a041b2a E 056;f19a041b2a;20X20;0;E 056;200;200;7,3;36;23,18;200;200;262,8;0;inf;200;200;0;0;9;56;-134;800;1200;1298,08;134
f19a041b2a N 056;f19a041b2a;20X20;0;N 056;200;200;7,3;36;23,18;200;200;262,8;0;inf;200;200;0;0;9;56;-134;800;1200;1298,08;134
f19a041b2a S 056;f19a041b2a;20X20;0;S 056;200;200;7,3;36;23,18;200;200;262,8;1;56;200;200;302,22;23,18;F;56;806;800;1200;1298,08;134
a0a98a1225 E 056;a0a98a1225;20X20;0;E 056;200;200;7,3;36;23,18;200;200;262,8;0;inf;200;200;0;0;9;56;-134;800;1200;1298,08;134
a0a98a1225 N 056;a0a98a1225;20X20;0;N 056;200;200;7,3;36;23,18;200;200;262,8;0;inf;200;200;0;0;9;56;-134;800;1200;1298,08;134
a0a98a1225 S 056;a0a98a1225;20X20;0;S 056;200;200;7,3;36;23,18;200;200;262,8;1;56;200;200;302,22;23,18;F;56;806;800;1200;1298,08;134
95ab3b16c3 E 056;95ab3b16c3;20X20;0;E 056;200;200;7,3;36;23,18;200;200;262,8;0;inf;200;200;0;0;9;56;-134;800;1200;1298,08;134
95ab3b16c3 N 056;95ab3b16c3;20X20;0;N 056;200;200;7,3;36;23,18;200;200;262,8;0;inf;200;200;0;0;9;56;-134;800;1200;1298,08;134
95ab3b16c3 S 056;95ab3b16c3;20X20;0;S 056;200;200;7,3;36;23,18;200;200;262,8;1;56;200;200;302,22;23,18;F;56;806;800;1200;1298,08;134
14bdaf02ae E 056;14bdaf02ae;20X20;0;E 056;200;200;7,3;36;23,18;200;200;262,8;0;inf;200;200;0;0;9;56;-134;800;1200;1298,08;134
14bdaf02ae N 056;14bdaf02ae;20X20;0;N 056;200;200;7,3;36;23,18;200;200;262,8;0;inf;200;200;0;0;9;56;-134;800;1200;1298,08;134
14bdaf02ae S 056;14bdaf02ae;20X20;0;S 056;200;200;7,3;36;23,18;200;200;262,8;1;56;200;200;302,22;23,18;F;56;806;800;1200;1298,08;134
5918bc8eb0 E 056;5918bc8eb0;20X20;0;E 056;200;200;7,3;36;23,18;200;200;262,8;0;inf;200;200;0;0;9;56;-134;800;1200;1298,08;134
5918bc8eb0 N 056;5918bc8eb0;20X20;0;N 056;200;200;7,3;36;23,18;200;200;262,8;0;inf;200;200;0;0;9;56;-134;800;1200;1298,08;134
5918bc8eb0 S 056;5918bc8eb0;20X20;0;S 056;200;200;7,3;36;23,18;200;200;262,8;1;56;200;200;302,22;23,18;F;56;806;800;1200;1298,08;134
3262edb348 E 056;3262edb348;20X20;0;E 056;200;200;7,3;36;23,18;200;200;262,8;0;inf;200;200;0;0;9;56;-134;800;1200;1298,08;134
3262edb348 N 056;3262edb348;20X20;0;N 056;200;200;7,3;36;23,18;200;200;262,8;0;inf;200;200;0;0;9;56;-134;800;1200;1298,08;134
3262edb348 S 056;3262edb348;20X20;0;S 056;200;200;7,3;36;23,18;200;200;262,8;1;56;200;200;302,22;23,18;F;56;806;800;1200;1298,08;134
495ac645a1 E 056;495ac645a1;20X20;0;E 056;200;200;7,3;36;23,18;200;200;262,8;0;inf;200;200;0;0;9;56;-134;800;1200;1298,08;134
495ac645a1 N 056;495ac645a1;20X20;0;N 056;200;200;7,3;36;23,18;200;200;262,8;0;inf;200;200;0;0;9;56;-134;800;1200;1298,08;134
495ac645a1 S 056;495ac645a1;20X20;0;S 056;200;200;7,3;36;23,18;200;200;262,8;1;56;200;200;302,22;23,18;F;56;806;800;1200;1298,08;134
bdfca42ac5 E 056;bdfca42ac5;20X20;0;E 056;200;200;7,3;36;23,18;200;200;262,8;0;inf;200;200;0;0;9;56;-134;800;1200;1298,08;134
bdfca42ac5 N 056;bdfca42ac5;20X20;0;N 056;200;200;7,3;36;23,18;200;200;262,8;0;inf;200;200;0;0;9;56;-134;800;1200;1298,08;134
bdfca42ac5 S 056;bdfca42ac5;20X20;0;S 056;200;200;7,3;36;23,18;200;200;262,8;1;56;200;200;302,22;23,18;F;56;806;800;1200;1298,08;134
960fc3f554 E 056;960fc3f554;20X20;0;E 056;200;200;7,3;36;23,18;200;200;262,8;0;inf;200;200;0;0;9;56;-134;800;1200;1298,08;134
960fc3f554 N 056;960fc3f554;20X20;0;N 056;200;200;7,3;36;23,18;200;200;262,8;0;inf;200;200;0;0;9;56;-134;800;1200;1298,08;134
960fc3f554 S 056;960fc3f554;20X20;0;S 056;200;200;7,3;36;23,18;200;200;262,8;1;56;200;200;302,22;23,18;F;56;806;800;1200;1298,08;134
262956cddc E 056;262956cddc;20X20;0;E 056;200;200;7,3;36;23,18;200;200;262,8;0;inf;200;200;0;0;9;56;-134;800;1200;1298,08;134
262956cddc N 056;262956cddc;20X20;0;N 056;200;200;7,3;36;23,18;200;200;262,8;0;inf;200;200;0;0;9;56;-134;800;1200;1298,08;134
262956cddc S 056;262956cddc;20X20;0;S 056;200;200;7,3;36;23,18;200;200;262,8;1;56;200;200;302,22;23,18;F;56;806;800;1200;1298,08;134
0bd6f6f24a N 036;0bd6f6f24a;22.5X90;0;N 036;225;900;9,5;6;25,2;225;900;57;0;inf;225;900;0;0;9;36;-134;800;1200;907,2;134
0bd6f6f24a S 036;0bd6f6f24a;22.5X90;0;S 036;225;900;9,5;6;25,2;225;900;57;2;18;225;900;131,1;50,4;B;36;441;1010;1200;907,2;134
f3bc393d27 N 036;f3bc393d27;22.5X90;0;N 036;225;900;9;6;23,4;225;900;54;0;inf;225;900;0;0;9;36;417;800;1200;842,4;134
f3bc393d27 S 036;f3bc393d27;22.5X90;0;S 036;225;900;9;6;23,4;225;900;54;2;18;225;900;124,2;46,8;B;36;441;1010;1200;842,4;134
c3b4a3821e N 036;c3b4a3821e;22.5X90;0;N 036;225;900;9,5;6;25,2;225;900;57;0;inf;225;900;0;0;9;36;441;800;1200;907,2;134
c3b4a3821e S 036;c3b4a3821e;22.5X90;0;S 036;225;900;9,5;6;25,2;225;900;57;2;18;225;900;131,1;50,4;B;36;441;1010;1200;907,2;134
476431070f N 036;476431070f;22.5X90;0;N 036;225;900;9,5;6;25,2;225;900;57;0;inf;225;900;0;0;9;36;441;800;1200;907,2;134
476431070f S 036;476431070f;22.5X90;0;S 036;225;900;9,5;6;25,2;225;900;57;2;18;225;900;131,1;50,4;B;36;441;1010;1200;907,2;134
8c297d0835 N 036;8c297d0835;22.5X90;0;N 036;225;900;9,5;6;25,2;225;900;57;0;inf;225;900;0;0;9;36;441;800;1200;907,2;134
8c297d0835 S 036;8c297d0835;22.5X90;0;S 036;225;900;9,5;6;25,2;225;900;57;2;18;225;900;131,1;50,4;B;36;441;1010;1200;907,2;134
d4a338907f N 036;d4a338907f;22.5X90;0;N 036;225;900;9,5;6;25,2;225;900;57;0;inf;225;900;0;0;9;36;441;800;1200;907,2;134
d4a338907f S 036;d4a338907f;22.5X90;0;S 036;225;900;9,5;6;25,2;225;900;57;2;18;225;900;131,1;50,4;B;36;441;1010;1200;907,2;134
485616e8f0 N 036;485616e8f0;22.5X90;0;N 036;225;900;9,5;6;25,2;225;900;57;0;inf;225;900;0;0;9;36;441;800;1200;907,2;134
485616e8f0 S 036;485616e8f0;22.5X90;0;S 036;225;900;9,5;6;25,2;225;900;57;2;18;225;900;131,1;50,4;B;36;441;1010;1200;907,2;134
dedb2ddd1f S 040;dedb2ddd1f;60X60;0;S 040;600;600;9;3;22,2;600;600;27;4;10;600;600;124,2;88,8;F;40;596;800;1200;888;134
2104b45e47 S 040;2104b45e47;60X60;0;S 040;600;600;9;3;22,2;600;600;27;4;10;600;600;124,2;88,8;F;40;596;800;1200;888;134
86473d593b E 036;86473d593b;45X90;0;E 036;450;900;9;3;24,6;450;900;27;4;9;450;900;124,2;98,4;B;36;446;1010;1200;885,6;134
86473d593b N 036;86473d593b;45X90;0;N 036;450;900;9;3;24,6;450;900;27;4;9;450;900;124,2;98,4;B;36;446;1010;1200;885,6;134
86473d593b S 036;86473d593b;45X90;0;S 036;450;900;9;3;24,6;450;900;27;4;9;450;900;124,2;98,4;B;36;446;1010;1200;885,6;134
28cb05ea64 E 036;28cb05ea64;45X90;0;E 036;450;900;9;3;24,6;450;900;27;4;9;450;900;124,2;98,4;B;36;446;1010;1200;885,6;134
28cb05ea64 N 036;28cb05ea64;45X90;0;N 036;450;900;9;3;24,6;450;900;27;4;9;450;900;124,2;98,4;B;36;446;1010;1200;885,6;134
28cb05ea64 S 036;28cb05ea64;45X90;0;S 036;450;900;9;3;24,6;450;900;27;4;9;450;900;124,2;98,4;B;36;446;1010;1200;885,6;134
5afc5f666b N 036;5afc5f666b;45X90;0;N 036;450;900;9;3;24,6;450;900;27;4;9;450;900;124,2;98,4;B;36;446;1010;1200;885,6;134
5afc5f666b S 036;5afc5f666b;45X90;0;S 036;450;900;9;3;24,6;450;900;27;4;9;450;900;124,2;98,4;B;36;446;1010;1200;885,6;134
6fc176ca59 E 036;6fc176ca59;45X90;0;E 036;450;900;9;3;24,6;450;900;27;4;9;450;900;124,2;98,4;B;36;446;1010;1200;885,6;134
6fc176ca59 N 036;6fc176ca59;45X90;0;N 036;450;900;9;3;24,6;450;900;27;4;9;450;900;124,2;98,4;B;36;446;1010;1200;885,6;134
6fc176ca59 S 036;6fc176ca59;45X90;0;S 036;450;900;9;3;24,6;450;900;27;4;9;450;900;124,2;98,4;B;36;446;1010;1200;885,6;134
7b70c97bfb E 036;7b70c97bfb;45X90;0;E 036;450;900;9;3;24,6;450;900;27;4;9;450;900;124,2;98,4;B;36;446;1010;1200;885,6;134
7b70c97bfb N 036;7b70c97bfb;45X90;0;N 036;450;900;9;3;24,6;450;900;27;4;9;450;900;124,2;98,4;B;36;446;1010;1200;885,6;134
