item_id;item;defom;exsz;schpl;x_mm;y_mm;z_mm;pzxsc;kgxsc;x_sc_mm;y_sc_mm;z_sc_mm;scxfrd;frdxplt;x_frd_mm;y_frd_mm;z_frd_mm;kgxfrd;cdsup;scxpl;z_cub_mm;x_pal_mm;y_pal_mm;kgxplt;z_pal_mm
6c0229e509 S 036;6c0229e509;45X90;0;S 036;450;900;9;3;24,6;450;900;27;4;9;450;900;124,2;98,4;B;36;446;1010;1200;885,6;134
47d34b3e5e N 036;47d34b3e5e;45X90;0;N 036;450;900;9;3;24,6;450;900;27;4;9;450;900;124,2;98,4;B;36;446;1010;1200;885,6;134
47d34b3e5e S 036;47d34b3e5e;45X90;0;S 036;450;900;9;3;24,6;450;900;27;4;9;450;900;124,2;98,4;B;36;446;1010;1200;885,6;134
2a34708536 N 036;2a34708536;45X90;0;N 036;450;900;9;3;24,6;450;900;27;4;9;450;900;124,2;98,4;B;36;446;1010;1200;885,6;134
2a34708536 S 036;2a34708536;45X90;0;S 036;450;900;9;3;24,6;450;900;27;4;9;450;900;124,2;98,4;B;36;446;1010;1200;885,6;134
1016043364 N 036;1016043364;45X90;0;N 036;450;900;9;3;24,6;450;900;27;4;9;450;900;124,2;98,4;B;36;446;1010;1200;885,6;134
1016043364 S 036;1016043364;45X90;0;S 036;450;900;9;3;24,6;450;900;27;4;9;450;900;124,2;98,4;B;36;446;1010;1200;885,6;134
1e64a347e4 N 036;1e64a347e4;45X90;0;N 036;450;900;9;3;24,6;450;900;27;4;9;450;900;124,2;98,4;B;36;446;1010;1200;885,6;134
1e64a347e4 S 036;1e64a347e4;45X90;0;S 036;450;900;9;3;24,6;450;900;27;4;9;450;900;124,2;98,4;B;36;446;1010;1200;885,6;134
cd3fef28c3 S 048;cd3fef28c3;40X80;0;S 048;400;800;10;4;20,5;400;800;40;4;12;400;800;184;82;U;48;808;800;1200;984;132
693b1f8fc3 S 048;693b1f8fc3;40X80;0;S 048;400;800;10;4;20,5;400;800;40;4;12;400;800;184;82;U;48;819;800;1200;984;132
4f4a74e97a S 048;4f4a74e97a;40X80;0;S 048;400;800;10;4;20,5;400;800;40;4;12;400;800;184;82;U;48;819;800;1200;984;132
56042c9efa S 040;56042c9efa;30X60;0;S 040;300;600;9;7;23,1;300;600;63;2;20;300;600;144,9;46,2;F;40;601;800;1200;924;134
fd9dd88f0b S 040;fd9dd88f0b;30X60;0;S 040;300;600;9;7;24,5;300;600;63;2;20;300;600;144,9;49;F;40;601;800;1200;980;134
a161fea6c3 N 040;a161fea6c3;30X60;0;N 040;300;600;9;7;23,1;300;600;63;0;inf;300;600;0;0;9;40;-134;800;1200;924;134
a161fea6c3 S 040;a161fea6c3;30X60;0;S 040;300;600;9;7;23,1;300;600;63;2;20;300;600;144,9;46,2;F;40;601;800;1200;924;134
